n,m,tb,seed,F0_size,F1_size,d,time_sec,restarts,solution_found,sigma_weight
500,50,1,50051235,25,25,625,1.231142,0,True,13
500,50,2,50051236,25,25,625,1.190817,0,True,13
500,50,3,50051237,25,25,625,1.169816,0,True,14
500,50,4,50051238,25,25,625,1.098354,0,True,12
500,50,5,50051239,25,25,625,1.284772,0,True,14
500,50,6,50051240,25,25,625,1.258072,0,True,13
500,50,7,50051241,25,25,625,1.173236,0,True,13
500,50,8,50051242,25,25,625,1.178482,0,True,14
500,50,9,50051243,25,25,625,1.119306,0,True,12
500,50,10,50051244,25,25,625,1.21681,0,True,14
500,100,1,50101235,50,50,2500,4.582106,0,True,16
500,100,2,50101236,50,50,2500,5.047611,0,True,18
500,100,3,50101237,50,50,2500,4.893606,0,True,18
500,100,4,50101238,50,50,2500,4.913272,0,True,18
500,100,5,50101239,50,50,2500,5.158924,0,True,19
500,100,6,50101240,50,50,2500,4.900525,0,True,18
500,100,7,50101241,50,50,2500,5.02728,0,True,18
500,100,8,50101242,50,50,2500,4.684515,0,True,17
500,100,9,50101243,50,50,2500,5.05745,0,True,19
500,100,10,50101244,50,50,2500,5.060375,0,True,19
500,150,1,50151235,75,75,5625,16.842229,0,True,20
500,150,2,50151236,75,75,5625,16.918732,0,True,20
500,150,3,50151237,75,75,5625,17.471565,0,True,21
500,150,4,50151238,75,75,5625,16.94333,0,True,20
500,150,5,50151239,75,75,5625,17.460735,0,True,21
500,150,6,50151240,75,75,5625,16.306698,0,True,19
500,150,7,50151241,75,75,5625,18.846345,0,True,23
500,150,8,50151242,75,75,5625,16.295647,0,True,19
500,150,9,50151243,75,75,5625,17.466203,0,True,21
500,150,10,50151244,75,75,5625,16.85853,0,True,20
500,200,1,50201235,100,100,10000,53.611577,0,True,24
500,200,2,50201236,100,100,10000,51.631423,0,True,23
500,200,3,50201237,100,100,10000,49.252854,0,True,22
500,200,4,50201238,100,100,10000,47.586133,0,True,21
500,200,5,50201239,100,100,10000,47.513707,0,True,21
500,200,6,50201240,100,100,10000,53.733655,0,True,24
500,200,7,50201241,100,100,10000,51.677674,0,True,23
500,200,8,50201242,100,100,10000,47.616588,0,True,21
500,200,9,50201243,100,100,10000,51.572029,0,True,23
500,200,10,50201244,100,100,10000,47.669505,0,True,21
500,250,1,50251235,125,125,15625,123.459502,0,True,24
500,250,2,50251236,125,125,15625,123.69123,0,True,24
500,250,3,50251237,125,125,15625,123.661774,0,True,24
500,250,4,50251238,125,125,15625,123.066359,0,True,24
500,250,5,50251239,125,125,15625,128.354933,0,True,25
500,250,6,50251240,125,125,15625,123.52479,0,True,24
500,250,7,50251241,125,125,15625,118.481575,0,True,23
500,250,8,50251242,125,125,15625,123.482941,0,True,24
500,250,9,50251243,125,125,15625,128.353393,0,True,25
500,250,10,50251244,125,125,15625,118.909081,0,True,23
500,300,1,50301235,150,150,22500,257.805107,0,True,25
500,300,2,50301236,150,150,22500,257.528115,0,True,25
500,300,3,50301237,150,150,22500,258.52742,0,True,25
500,300,4,50301238,150,150,22500,257.336441,0,True,25
500,300,5,50301239,150,150,22500,278.040779,0,True,27
500,300,6,50301240,150,150,22500,277.581691,0,True,27
500,300,7,50301241,150,150,22500,268.078078,0,True,26
500,300,8,50301242,150,150,22500,278.608045,0,True,27
500,300,9,50301243,150,150,22500,268.655984,0,True,26
500,300,10,50301244,150,150,22500,278.820807,0,True,27
1000,50,1,100051235,25,25,625,2.362535,0,True,13
1000,50,2,100051236,25,25,625,2.206662,0,True,12
1000,50,3,100051237,25,25,625,2.479133,0,True,15
1000,50,4,100051238,25,25,625,2.04654,0,True,12
1000,50,5,100051239,25,25,625,2.335836,0,True,14
1000,50,6,100051240,25,25,625,2.032818,0,True,12
1000,50,7,100051241,25,25,625,2.421484,0,True,15
1000,50,8,100051242,25,25,625,2.167588,0,True,12
1000,50,9,100051243,25,25,625,2.254086,0,True,12
1000,50,10,100051244,25,25,625,2.187877,0,True,12
1000,100,1,100101235,50,50,2500,7.368568,0,True,15
1000,100,2,100101236,50,50,2500,7.414434,0,True,15
1000,100,3,100101237,50,50,2500,8.063649,0,True,18
1000,100,4,100101238,50,50,2500,8.104173,0,True,17
1000,100,5,100101239,50,50,2500,7.997958,0,True,17
1000,100,6,100101240,50,50,2500,8.429486,0,True,19
1000,100,7,100101241,50,50,2500,8.147392,0,True,18
1000,100,8,100101242,50,50,2500,7.829456,0,True,16
1000,100,9,100101243,50,50,2500,8.210022,0,True,18
1000,100,10,100101244,50,50,2500,8.252397,0,True,19
1000,150,1,100151235,75,75,5625,24.063503,0,True,21
1000,150,2,100151236,75,75,5625,23.315886,0,True,20
1000,150,3,100151237,75,75,5625,25.185953,0,True,22
1000,150,4,100151238,75,75,5625,23.994994,0,True,21
1000,150,5,100151239,75,75,5625,26.128827,0,True,24
1000,150,6,100151240,75,75,5625,22.768452,0,True,19
1000,150,7,100151241,75,75,5625,23.689551,0,True,20
1000,150,8,100151242,75,75,5625,22.789506,0,True,19
1000,150,9,100151243,75,75,5625,23.903531,0,True,21
1000,150,10,100151244,75,75,5625,22.725011,0,True,19
1000,200,1,100201235,100,100,10000,57.598018,0,True,20
1000,200,2,100201236,100,100,10000,61.669368,0,True,22
1000,200,3,100201237,100,100,10000,61.995184,0,True,22
1000,200,4,100201238,100,100,10000,63.919171,0,True,23
1000,200,5,100201239,100,100,10000,59.659393,0,True,21
1000,200,6,100201240,100,100,10000,70.612592,0,True,26
1000,200,7,100201241,100,100,10000,65.913702,0,True,24
1000,200,8,100201242,100,100,10000,62.133696,0,True,22
1000,200,9,100201243,100,100,10000,63.982977,0,True,23
1000,200,10,100201244,100,100,10000,62.022508,0,True,22
1000,250,1,100251235,125,125,15625,160.818043,0,True,27
1000,250,2,100251236,125,125,15625,129.857596,0,True,21
1000,250,3,100251237,125,125,15625,144.858447,0,True,24
1000,250,4,100251238,125,125,15625,145.522782,0,True,24
1000,250,5,100251239,125,125,15625,150.326432,0,True,25
1000,250,6,100251240,125,125,15625,150.264492,0,True,25
1000,250,7,100251241,125,125,15625,150.356687,0,True,25
1000,250,8,100251242,125,125,15625,135.073889,0,True,22
1000,250,9,100251243,125,125,15625,145.725429,0,True,24
1000,250,10,100251244,125,125,15625,155.631799,0,True,26
1000,300,1,100301235,150,150,22500,314.955925,0,True,27
1000,300,2,100301236,150,150,22500,305.486498,0,True,26
1000,300,3,100301237,150,150,22500,294.160851,0,True,25
1000,300,4,100301238,150,150,22500,295.659579,0,True,25
1000,300,5,100301239,150,150,22500,316.791544,0,True,27
1000,300,6,100301240,150,150,22500,294.768481,0,True,25
1000,300,7,100301241,150,150,22500,283.007151,0,True,24
1000,300,8,100301242,150,150,22500,293.466635,0,True,25
1000,300,9,100301243,150,150,22500,294.986939,0,True,25
1000,300,10,100301244,150,150,22500,283.215495,0,True,24
2000,50,1,200051235,25,25,625,4.658443,0,True,13
2000,50,2,200051236,25,25,625,4.575624,0,True,13
2000,50,3,200051237,25,25,625,4.649655,0,True,13
2000,50,4,200051238,25,25,625,5.202008,0,True,14
2000,50,5,200051239,25,25,625,4.604528,0,True,12
2000,50,6,200051240,25,25,625,4.828929,0,True,13
2000,50,7,200051241,25,25,625,5.173455,0,True,16
2000,50,8,200051242,25,25,625,4.535079,0,True,12
2000,50,9,200051243,25,25,625,4.771503,0,True,12
2000,50,10,200051244,25,25,625,4.731564,0,True,13
2000,100,1,200101235,50,50,2500,15.599711,0,True,21
2000,100,2,200101236,50,50,2500,14.722774,0,True,19
2000,100,3,200101237,50,50,2500,14.878029,0,True,18
2000,100,4,200101238,50,50,2500,15.474502,0,True,18
2000,100,5,200101239,50,50,2500,14.250396,0,True,17
2000,100,6,200101240,50,50,2500,14.893286,0,True,18
2000,100,7,200101241,50,50,2500,15.31858,0,True,19
2000,100,8,200101242,50,50,2500,14.689191,0,True,18
2000,100,9,200101243,50,50,2500,14.914855,0,True,18
2000,100,10,200101244,50,50,2500,14.908054,0,True,17
2000,150,1,200151235,75,75,5625,39.048,0,True,22
2000,150,2,200151236,75,75,5625,36.996506,0,True,20
2000,150,3,200151237,75,75,5625,38.708126,0,True,22
2000,150,4,200151238,75,75,5625,35.372976,0,True,19
2000,150,5,200151239,75,75,5625,35.951329,0,True,19
2000,150,6,200151240,75,75,5625,36.745493,0,True,20
2000,150,7,200151241,75,75,5625,40.517816,0,True,23
2000,150,8,200151242,75,75,5625,38.468078,0,True,22
2000,150,9,200151243,75,75,5625,38.108444,0,True,22
2000,150,10,200151244,75,75,5625,39.295139,0,True,23
2000,200,1,200201235,100,100,10000,86.466143,0,True,23
2000,200,2,200201236,100,100,10000,81.835266,0,True,21
2000,200,3,200201237,100,100,10000,81.458764,0,True,21
2000,200,4,200201238,100,100,10000,87.055621,0,True,23
2000,200,5,200201239,100,100,10000,87.514948,0,True,23
2000,200,6,200201240,100,100,10000,87.218306,0,True,23
2000,200,7,200201241,100,100,10000,89.052753,0,True,24
2000,200,8,200201242,100,100,10000,86.696316,0,True,23
2000,200,9,200201243,100,100,10000,84.471057,0,True,22
2000,200,10,200201244,100,100,10000,86.117283,0,True,23
2000,250,1,200251235,125,125,15625,186.652599,0,True,25
2000,250,2,200251236,125,125,15625,187.030697,0,True,25
2000,250,3,200251237,125,125,15625,175.792446,0,True,23
2000,250,4,200251238,125,125,15625,180.622295,0,True,24
2000,250,5,200251239,125,125,15625,176.100823,0,True,23
2000,250,6,200251240,125,125,15625,181.09121,0,True,24
2000,250,7,200251241,125,125,15625,181.93584,0,True,24
2000,250,8,200251242,125,125,15625,180.864686,0,True,24
2000,250,9,200251243,125,125,15625,181.448293,0,True,24
2000,250,10,200251244,125,125,15625,169.96869,0,True,22
2000,300,1,200301235,150,150,22500,358.824072,0,True,26
2000,300,2,200301236,150,150,22500,324.43101,0,True,23
2000,300,3,200301237,150,150,22500,357.32941,0,True,26
2000,300,4,200301238,150,150,22500,359.679888,0,True,26
2000,300,5,200301239,150,150,22500,347.84746,0,True,25
2000,300,6,200301240,150,150,22500,369.902181,0,True,27
2000,300,7,200301241,150,150,22500,347.804431,0,True,25
2000,300,8,200301242,150,150,22500,335.34566,0,True,24
2000,300,9,200301243,150,150,22500,358.804123,0,True,26
2000,300,10,200301244,150,150,22500,359.566117,0,True,26
3000,50,1,300051235,25,25,625,7.75518,0,True,14
3000,50,2,300051236,25,25,625,7.474311,0,True,13
3000,50,3,300051237,25,25,625,7.445599,0,True,13
3000,50,4,300051238,25,25,625,7.003418,0,True,13
3000,50,5,300051239,25,25,625,7.904127,0,True,15
3000,50,6,300051240,25,25,625,8.101135,0,True,14
3000,50,7,300051241,25,25,625,7.806755,0,True,15
3000,50,8,300051242,25,25,625,7.148413,0,True,12
3000,50,9,300051243,25,25,625,6.929197,0,True,12
3000,50,10,300051244,25,25,625,8.270474,0,True,16
3000,100,1,300101235,50,50,2500,21.239247,0,True,16
3000,100,2,300101236,50,50,2500,20.675999,0,True,17
3000,100,3,300101237,50,50,2500,21.509909,0,True,18
3000,100,4,300101238,50,50,2500,21.684651,0,True,17
3000,100,5,300101239,50,50,2500,22.614521,0,True,20
3000,100,6,300101240,50,50,2500,22.075711,0,True,18
3000,100,7,300101241,50,50,2500,21.849375,0,True,18
3000,100,8,300101242,50,50,2500,21.545096,0,True,17
3000,100,9,300101243,50,50,2500,22.503454,0,True,18
3000,100,10,300101244,50,50,2500,22.639092,0,True,19
3000,150,1,300151235,75,75,5625,51.840172,0,True,21
3000,150,2,300151236,75,75,5625,51.366003,0,True,21
3000,150,3,300151237,75,75,5625,51.117106,0,True,21
3000,150,4,300151238,75,75,5625,50.297899,0,True,20
3000,150,5,300151239,75,75,5625,53.946832,0,True,23
3000,150,6,300151240,75,75,5625,51.651613,0,True,21
3000,150,7,300151241,75,75,5625,49.716714,0,True,19
3000,150,8,300151242,75,75,5625,53.645796,0,True,23
3000,150,9,300151243,75,75,5625,49.348146,0,True,19
3000,150,10,300151244,75,75,5625,51.444409,0,True,21
3000,200,1,300201235,100,100,10000,107.791612,0,True,22
3000,200,2,300201236,100,100,10000,110.804531,0,True,24
3000,200,3,300201237,100,100,10000,107.59458,0,True,22
3000,200,4,300201238,100,100,10000,113.803913,0,True,24
3000,200,5,300201239,100,100,10000,103.713506,0,True,20
3000,200,6,300201240,100,100,10000,107.692227,0,True,22
3000,200,7,300201241,100,100,10000,106.394197,0,True,21
3000,200,8,300201242,100,100,10000,110.799672,0,True,23
3000,200,9,300201243,100,100,10000,107.116321,0,True,22
3000,200,10,300201244,100,100,10000,113.077797,0,True,24
3000,250,1,300251235,125,125,15625,227.767369,0,True,26
3000,250,2,300251236,125,125,15625,225.714681,0,True,26
3000,250,3,300251237,125,125,15625,226.689717,0,True,26
3000,250,4,300251238,125,125,15625,210.835177,0,True,23
3000,250,5,300251239,125,125,15625,221.63076,0,True,25
3000,250,6,300251240,125,125,15625,225.262023,0,True,25
3000,250,7,300251241,125,125,15625,227.693707,0,True,26
3000,250,8,300251242,125,125,15625,221.814078,0,True,25
3000,250,9,300251243,125,125,15625,240.10879,0,True,28
3000,250,10,300251244,125,125,15625,221.627186,0,True,25
3000,300,1,300301235,150,150,22500,408.987875,0,True,26
3000,300,2,300301236,150,150,22500,421.932834,0,True,27
3000,300,3,300301237,150,150,22500,386.458106,0,True,24
3000,300,4,300301238,150,150,22500,419.914651,0,True,27
3000,300,5,300301239,150,150,22500,408.501245,0,True,26
3000,300,6,300301240,150,150,22500,420.599361,0,True,27
3000,300,7,300301241,150,150,22500,420.332815,0,True,27
3000,300,8,300301242,150,150,22500,421.662398,0,True,27
3000,300,9,300301243,150,150,22500,405.779401,0,True,26
3000,300,10,300301244,150,150,22500,397.575461,0,True,25
4000,50,1,400051235,25,25,625,9.765985,0,True,11
4000,50,2,400051236,25,25,625,9.260545,0,True,11
4000,50,3,400051237,25,25,625,10.1198,0,True,13
4000,50,4,400051238,25,25,625,9.356801,0,True,11
4000,50,5,400051239,25,25,625,11.735042,0,True,16
4000,50,6,400051240,25,25,625,10.364351,0,True,13
4000,50,7,400051241,25,25,625,9.886043,0,True,12
4000,50,8,400051242,25,25,625,10.506398,0,True,13
4000,50,9,400051243,25,25,625,9.870128,0,True,12
4000,50,10,400051244,25,25,625,10.152133,0,True,12
4000,100,1,400101235,50,50,2500,29.247732,0,True,17
4000,100,2,400101236,50,50,2500,28.885478,0,True,17
4000,100,3,400101237,50,50,2500,28.078182,0,True,16
4000,100,4,400101238,50,50,2500,31.188049,0,True,20
4000,100,5,400101239,50,50,2500,29.780262,0,True,19
4000,100,6,400101240,50,50,2500,28.334553,0,True,18
4000,100,7,400101241,50,50,2500,29.40852,0,True,18
4000,100,8,400101242,50,50,2500,29.755944,0,True,19
4000,100,9,400101243,50,50,2500,30.160957,0,True,19
4000,100,10,400101244,50,50,2500,28.415901,0,True,18
4000,150,1,400151235,75,75,5625,62.953905,0,True,20
4000,150,2,400151236,75,75,5625,64.870992,0,True,20
4000,150,3,400151237,75,75,5625,66.496513,0,True,21
4000,150,4,400151238,75,75,5625,62.099374,0,True,19
4000,150,5,400151239,75,75,5625,63.520538,0,True,20
4000,150,6,400151240,75,75,5625,64.499953,0,True,20
4000,150,7,400151241,75,75,5625,67.197868,0,True,22
4000,150,8,400151242,75,75,5625,65.492215,0,True,22
4000,150,9,400151243,75,75,5625,62.783859,0,True,19
4000,150,10,400151244,75,75,5625,67.716961,0,True,22
4000,200,1,400201235,100,100,10000,132.708708,0,True,22
4000,200,2,400201236,100,100,10000,131.002204,0,True,22
4000,200,3,400201237,100,100,10000,139.74454,0,True,25
4000,200,4,400201238,100,100,10000,133.895961,0,True,23
4000,200,5,400201239,100,100,10000,134.228105,0,True,23
4000,200,6,400201240,100,100,10000,135.077096,0,True,23
4000,200,7,400201241,100,100,10000,134.858794,0,True,23
4000,200,8,400201242,100,100,10000,133.044601,0,True,23
4000,200,9,400201243,100,100,10000,139.277561,0,True,25
4000,200,10,400201244,100,100,10000,128.656708,0,True,21
4000,250,1,400251235,125,125,15625,269.431886,0,True,27
4000,250,2,400251236,125,125,15625,228.762421,0,True,21
4000,250,3,400251237,125,125,15625,250.916562,0,True,24
4000,250,4,400251238,125,125,15625,250.429571,0,True,24
4000,250,5,400251239,125,125,15625,237.104754,0,True,22
4000,250,6,400251240,125,125,15625,239.356401,0,True,22
4000,250,7,400251241,125,125,15625,261.011032,0,True,26
4000,250,8,400251242,125,125,15625,257.17679,0,True,25
4000,250,9,400251243,125,125,15625,251.625223,0,True,24
4000,250,10,400251244,125,125,15625,255.788612,0,True,25
4000,300,1,400301235,150,150,22500,470.037816,0,True,27
4000,300,2,400301236,150,150,22500,471.261413,0,True,27
4000,300,3,400301237,150,150,22500,444.643698,0,True,25
4000,300,4,400301238,150,150,22500,479.954945,0,True,28
4000,300,5,400301239,150,150,22500,444.526396,0,True,25
4000,300,6,400301240,150,150,22500,457.420766,0,True,26
4000,300,7,400301241,150,150,22500,448.839822,0,True,25
4000,300,8,400301242,150,150,22500,435.601048,0,True,24
4000,300,9,400301243,150,150,22500,470.932476,0,True,27
4000,300,10,400301244,150,150,22500,471.147817,0,True,27
5000,50,1,500051235,25,25,625,13.115532,0,True,12
5000,50,2,500051236,25,25,625,14.675146,0,True,16
5000,50,3,500051237,25,25,625,14.285457,0,True,15
5000,50,4,500051238,25,25,625,13.201454,0,True,13
5000,50,5,500051239,25,25,625,12.926123,0,True,12
5000,50,6,500051240,25,25,625,15.505965,0,True,17
5000,50,7,500051241,25,25,625,13.288243,0,True,13
5000,50,8,500051242,25,25,625,13.275208,0,True,13
5000,50,9,500051243,25,25,625,13.416609,0,True,14
5000,50,10,500051244,25,25,625,13.97021,0,True,14
5000,100,1,500101235,50,50,2500,38.388568,0,True,20
5000,100,2,500101236,50,50,2500,37.856268,0,True,20
5000,100,3,500101237,50,50,2500,35.901832,0,True,17
5000,100,4,500101238,50,50,2500,36.95336,0,True,18
5000,100,5,500101239,50,50,2500,36.638373,0,True,18
5000,100,6,500101240,50,50,2500,37.731563,0,True,19
5000,100,7,500101241,50,50,2500,38.087371,0,True,20
5000,100,8,500101242,50,50,2500,37.429755,0,True,19
5000,100,9,500101243,50,50,2500,37.466283,0,True,19
5000,100,10,500101244,50,50,2500,36.264295,0,True,18
5000,150,1,500151235,75,75,5625,80.449357,0,True,21
5000,150,2,500151236,75,75,5625,81.117011,0,True,21
5000,150,3,500151237,75,75,5625,81.498437,0,True,21
5000,150,4,500151238,75,75,5625,78.313014,0,True,20
5000,150,5,500151239,75,75,5625,83.0725,0,True,23
5000,150,6,500151240,75,75,5625,81.579309,0,True,22
5000,150,7,500151241,75,75,5625,82.750271,0,True,22
5000,150,8,500151242,75,75,5625,78.072175,0,True,20
5000,150,9,500151243,75,75,5625,79.832468,0,True,20
5000,150,10,500151244,75,75,5625,80.875006,0,True,22
5000,200,1,500201235,100,100,10000,158.909762,0,True,23
5000,200,2,500201236,100,100,10000,156.845277,0,True,22
5000,200,3,500201237,100,100,10000,162.790684,0,True,25
5000,200,4,500201238,100,100,10000,153.846846,0,True,22
5000,200,5,500201239,100,100,10000,157.514058,0,True,23
5000,200,6,500201240,100,100,10000,158.741722,0,True,23
5000,200,7,500201241,100,100,10000,156.984152,0,True,23
5000,200,8,500201242,100,100,10000,159.309354,0,True,24
5000,200,9,500201243,100,100,10000,151.856092,0,True,20
5000,200,10,500201244,100,100,10000,154.254523,0,True,22
5000,250,1,500251235,125,125,15625,288.670684,0,True,23
5000,250,2,500251236,125,125,15625,280.553511,0,True,23
5000,250,3,500251237,125,125,15625,304.29004,0,True,27
5000,250,4,500251238,125,125,15625,293.493294,0,True,25
5000,250,5,500251239,125,125,15625,292.300748,0,True,25
5000,250,6,500251240,125,125,15625,294.80129,0,True,25
5000,250,7,500251241,125,125,15625,282.087777,0,True,23
5000,250,8,500251242,125,125,15625,291.240356,0,True,25
5000,250,9,500251243,125,125,15625,280.120885,0,True,23
5000,250,10,500251244,125,125,15625,288.129641,0,True,24
5000,300,1,500301235,150,150,22500,485.409464,0,True,24
5000,300,2,500301236,150,150,22500,494.525557,0,True,25
5000,300,3,500301237,150,150,22500,529.557319,0,True,28
5000,300,4,500301238,150,150,22500,492.778574,0,True,25
5000,300,5,500301239,150,150,22500,517.539027,0,True,27
5000,300,6,500301240,150,150,22500,498.044362,0,True,25
5000,300,7,500301241,150,150,22500,498.336785,0,True,25
5000,300,8,500301242,150,150,22500,511.547583,0,True,26
5000,300,9,500301243,150,150,22500,495.063931,0,True,25
5000,300,10,500301244,150,150,22500,458.860682,0,True,22
